Year,PTS,Goal,3P,2P,FT,BKL,lat,long,State
2002,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2002,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2002,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2002,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
2002,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2002,327.9,245.4,205.6,85.6,85.3,28189,41.2,-77.19,Pennsylvania
2002,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2002,155.6,126.4,93.1,36.2,38.4,16044,39.83,-74.87,New Jersey
2002,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2002,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2002,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2002,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2002,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2002,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2002,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2002,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2002,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2002,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2002,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2002,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2002,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2002,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2002,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2002,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2003,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2003,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2003,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
2003,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2003,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2003,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2003,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
2003,327.9,245.4,205.6,85.6,85.3,28189,41.2,-77.19,Pennsylvania
2003,155.6,126.4,93.1,36.2,38.4,16044,39.83,-74.87,New Jersey
2003,254.2,183.6,136.4,52.1,79.4,26187,39.42,-111.95,Utah
2003,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2003,155.6,126.4,93.1,36.2,38.4,16044,39.83,-74.87,New Jersey
2003,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2003,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2003,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2003,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2003,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2003,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2003,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2003,246,171.2,129.6,55.2,74.8,20172,44.5,-89.5,South Dakota
2003,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2003,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2003,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2004,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2004,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2004,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2004,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2004,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2004,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
